group,normalized_gain,position
Defensive matchup,0.04333853625092978,QB
Opportunity share,0.466002358016444,QB
Other,0.00905365330985244,QB
Player profile,0.3532671605615258,QB
Prior season,0.07151882221027658,QB
Recent form,0.0542314618584577,QB
Temporal,0.0025880077925136873,QB
Defensive matchup,0.030587369101544006,RB
Opportunity share,0.49184130609566523,RB
Other,0.002640203628627076,RB
Player profile,0.3677418466878112,RB
Prior season,0.06412950840187923,RB
Recent form,0.03921677799794469,RB
Temporal,0.003842988086528574,RB
Defensive matchup,0.02151759021290401,WRTE
Opportunity share,0.1257879818576819,WRTE
Other,0.0043650678245886676,WRTE
Player profile,0.7587997307489881,WRTE
Prior season,0.0561176965795883,WRTE
Recent form,0.030644920312146842,WRTE
Temporal,0.0027670124641022012,WRTE
