position,threshold,model,decision_threshold,accuracy,precision,recall,f1,roc_auc,average_precision,brier_score,positive_rate_actual,positive_rate_predicted,validation_f1_at_threshold,best_iteration
QB,10,majority_class,0.5,0.661,0.661,1.0,0.7959,0.5,0.661,0.2247,0.661,1.0,,
QB,10,logistic_regression,0.5,0.7232,0.737,0.9035,0.8118,0.7284,0.8136,0.1895,0.661,0.8103,,
QB,10,logistic_regression_balanced_tuned_threshold,0.23,0.7123,0.7151,0.9388,0.8118,0.7249,0.8119,0.2207,0.661,0.8678,0.8008,
QB,10,lightgbm_default,0.5,0.7465,0.7444,0.9388,0.8304,0.7578,0.8261,0.1767,0.661,0.8336,,57.0
QB,10,lightgbm_balanced_default_threshold,0.5,0.7185,0.7687,0.8212,0.7941,0.7397,0.8211,0.1883,0.661,0.7061,,95.0
QB,10,lightgbm_balanced_tuned_threshold,0.32,0.7496,0.7444,0.9459,0.8332,0.7397,0.8211,0.1883,0.661,0.8398,0.8098,95.0
QB,15,majority_class,0.5,0.5537,0.0,0.0,0.0,0.5,0.4463,0.2486,0.4463,0.0,,
QB,15,logistic_regression,0.5,0.6143,0.5783,0.5017,0.5373,0.6719,0.6188,0.2249,0.4463,0.3872,,
QB,15,logistic_regression_balanced_tuned_threshold,0.28,0.549,0.4972,0.9233,0.6463,0.6722,0.6189,0.2251,0.4463,0.8289,0.6476,
QB,15,lightgbm_default,0.5,0.6236,0.5768,0.5889,0.5828,0.673,0.6082,0.2242,0.4463,0.4557,,46.0
QB,15,lightgbm_balanced_default_threshold,0.5,0.6112,0.5611,0.5923,0.5763,0.6745,0.6157,0.2234,0.4463,0.4712,,50.0
QB,15,lightgbm_balanced_tuned_threshold,0.33,0.5708,0.5107,0.9164,0.6559,0.6745,0.6157,0.2234,0.4463,0.8009,0.6526,50.0
QB,20,majority_class,0.5,0.7465,0.0,0.0,0.0,0.5,0.2535,0.1898,0.2535,0.0,,
QB,20,logistic_regression,0.5,0.7605,0.5789,0.2025,0.3,0.6771,0.4177,0.1756,0.2535,0.0886,,
QB,20,logistic_regression_balanced_tuned_threshold,0.39,0.5614,0.3405,0.7791,0.4739,0.6791,0.4207,0.2126,0.2535,0.5801,0.4536,
QB,20,lightgbm_default,0.5,0.7449,0.48,0.0736,0.1277,0.6776,0.401,0.1759,0.2535,0.0389,,47.0
QB,20,lightgbm_balanced_default_threshold,0.5,0.6983,0.4,0.3804,0.3899,0.6652,0.4137,0.1943,0.2535,0.2411,,133.0
QB,20,lightgbm_balanced_tuned_threshold,0.23,0.5054,0.3114,0.7853,0.446,0.6652,0.4137,0.1943,0.2535,0.6392,0.4706,133.0
RB,10,majority_class,0.5,0.6625,0.0,0.0,0.0,0.5,0.3375,0.2238,0.3375,0.0,,
RB,10,logistic_regression,0.5,0.7748,0.7162,0.551,0.6228,0.8294,0.6909,0.1555,0.3375,0.2596,,
RB,10,logistic_regression_balanced_tuned_threshold,0.45,0.7762,0.643,0.7571,0.6954,0.8296,0.6911,0.1635,0.3375,0.3974,0.6698,
RB,10,lightgbm_default,0.5,0.7755,0.7,0.5857,0.6378,0.8313,0.6903,0.154,0.3375,0.2824,,98.0
RB,10,lightgbm_balanced_default_threshold,0.5,0.7769,0.6647,0.6837,0.674,0.8238,0.6762,0.1591,0.3375,0.3471,,259.0
RB,10,lightgbm_balanced_tuned_threshold,0.4,0.7665,0.6232,0.7796,0.6927,0.8238,0.6762,0.1591,0.3375,0.4222,0.6503,259.0
RB,15,majority_class,0.5,0.8058,0.0,0.0,0.0,0.5,0.1942,0.1566,0.1942,0.0,,
RB,15,logistic_regression,0.5,0.8216,0.5983,0.2482,0.3509,0.8197,0.4824,0.1239,0.1942,0.0806,,
RB,15,logistic_regression_balanced_tuned_threshold,0.59,0.7927,0.474,0.6135,0.5348,0.8215,0.4846,0.164,0.1942,0.2514,0.5347,
RB,15,lightgbm_default,0.5,0.8092,0.5221,0.2092,0.2987,0.8255,0.4621,0.1234,0.1942,0.0778,,108.0
RB,15,lightgbm_balanced_default_threshold,0.5,0.7975,0.4762,0.4255,0.4494,0.8144,0.4532,0.1304,0.1942,0.1736,,402.0
RB,15,lightgbm_balanced_tuned_threshold,0.21,0.7252,0.3968,0.7979,0.53,0.8144,0.4532,0.1304,0.1942,0.3905,0.4887,402.0
RB,20,majority_class,0.5,0.905,0.0,0.0,0.0,0.5,0.095,0.0861,0.095,0.0,,
RB,20,logistic_regression,0.5,0.9001,0.1818,0.0145,0.0268,0.8149,0.2652,0.0766,0.095,0.0076,,
RB,20,logistic_regression_balanced_tuned_threshold,0.54,0.7789,0.2623,0.7319,0.3862,0.8142,0.2608,0.1667,0.095,0.2652,0.392,
RB,20,lightgbm_default,0.5,0.9036,0.25,0.0072,0.0141,0.8164,0.2738,0.076,0.095,0.0028,,76.0
RB,20,lightgbm_balanced_default_threshold,0.5,0.8809,0.284,0.1667,0.21,0.7803,0.2417,0.0865,0.095,0.0558,,343.0
RB,20,lightgbm_balanced_tuned_threshold,0.26,0.832,0.2735,0.4638,0.3441,0.7803,0.2417,0.0865,0.095,0.1612,0.3478,343.0
WRTE,10,majority_class,0.5,0.741,0.0,0.0,0.0,0.5,0.259,0.1922,0.259,0.0,,
WRTE,10,logistic_regression,0.5,0.7934,0.6595,0.4188,0.5123,0.8212,0.5956,0.1441,0.259,0.1645,,
WRTE,10,logistic_regression_balanced_tuned_threshold,0.44,0.7399,0.4986,0.7574,0.6013,0.8216,0.5957,0.1723,0.259,0.3934,0.6111,
WRTE,10,lightgbm_default,0.5,0.7934,0.6441,0.4525,0.5316,0.8221,0.5847,0.143,0.259,0.182,,103.0
WRTE,10,lightgbm_balanced_default_threshold,0.5,0.7604,0.5299,0.6646,0.5896,0.8102,0.5669,0.1604,0.259,0.3249,,658.0
WRTE,10,lightgbm_balanced_tuned_threshold,0.48,0.7557,0.5217,0.6835,0.5918,0.8102,0.5669,0.1604,0.259,0.3393,0.5988,658.0
WRTE,15,majority_class,0.5,0.8593,0.0,0.0,0.0,0.5,0.1407,0.1209,0.1407,0.0,,
WRTE,15,logistic_regression,0.5,0.8587,0.4935,0.1476,0.2272,0.8307,0.416,0.0994,0.1407,0.0421,,
WRTE,15,logistic_regression_balanced_tuned_threshold,0.62,0.8249,0.4142,0.5903,0.4868,0.8319,0.418,0.1642,0.1407,0.2005,0.4855,
WRTE,15,lightgbm_default,0.5,0.8587,0.4924,0.1262,0.2009,0.8319,0.4051,0.0985,0.1407,0.0361,,143.0
WRTE,15,lightgbm_balanced_default_threshold,0.5,0.838,0.4137,0.3631,0.3868,0.7988,0.3624,0.1167,0.1407,0.1235,,1243.0
WRTE,15,lightgbm_balanced_tuned_threshold,0.28,0.7929,0.3534,0.5689,0.436,0.7988,0.3624,0.1167,0.1407,0.2265,0.4539,1243.0
WRTE,20,majority_class,0.5,0.9333,0.0,0.0,0.0,0.5,0.0667,0.0622,0.0667,0.0,,
WRTE,20,logistic_regression,0.5,0.929,0.1364,0.0123,0.0226,0.8345,0.2287,0.0567,0.0667,0.006,,
WRTE,20,logistic_regression_balanced_tuned_threshold,0.69,0.8617,0.249,0.5328,0.3394,0.8372,0.2313,0.1598,0.0667,0.1426,0.3495,
WRTE,20,lightgbm_default,0.5,0.9347,0.8571,0.0246,0.0478,0.8318,0.2607,0.0555,0.0667,0.0019,,105.0
WRTE,20,lightgbm_balanced_default_threshold,0.5,0.9142,0.284,0.1885,0.2266,0.796,0.2162,0.0664,0.0667,0.0443,,783.0
WRTE,20,lightgbm_balanced_tuned_threshold,0.14,0.8112,0.1934,0.5779,0.2898,0.796,0.2162,0.0664,0.0667,0.1992,0.278,783.0
