player_id,player_name,season,week,team,opponent_team,fantasy_points_ppr,position_group,lightgbm_expected,lightgbm_boom_weighted,lightgbm_ceiling_p75,expected_error,boom_weighted_error,ceiling_error
00-0034857,J.Allen,2024,1,BUF,ARI,31.18,QB,22.8415,23.3927,29.4161,-8.3385,-7.7873,-1.7639
00-0034857,J.Allen,2024,2,BUF,MIA,9.76,QB,23.8177,22.1506,26.0671,14.0577,12.3906,16.3071
00-0034857,J.Allen,2024,3,BUF,JAX,30.92,QB,21.5692,27.2225,27.5998,-9.3508,-3.6975,-3.3202
00-0034857,J.Allen,2024,4,BUF,BAL,7.3,QB,22.7253,22.6556,26.4238,15.4253,15.3556,19.1238
00-0034857,J.Allen,2024,5,BUF,HOU,14.64,QB,23.6777,24.6325,26.0337,9.0377,9.9925,11.3937
00-0034857,J.Allen,2024,6,BUF,NYJ,24.4,QB,20.9862,21.2495,26.6872,-3.4138,-3.1505,2.2872
00-0034857,J.Allen,2024,7,BUF,TEN,21.02,QB,20.7896,19.7807,25.1486,-0.2304,-1.2393,4.1286
00-0034857,J.Allen,2024,8,BUF,SEA,19.82,QB,23.3243,26.0144,28.6035,3.5043,6.1944,8.7835
00-0034857,J.Allen,2024,9,BUF,MIA,22.1,QB,18.8247,21.33,23.2458,-3.2753,-0.77,1.1458
00-0034857,J.Allen,2024,10,BUF,IND,18.2,QB,20.7679,22.8255,25.7599,2.5679,4.6255,7.5599
00-0034857,J.Allen,2024,11,BUF,KC,23.98,QB,20.4157,22.9584,23.9627,-3.5643,-1.0216,-0.0173
00-0034857,J.Allen,2024,13,BUF,SF,28.42,QB,22.0823,23.1072,25.6097,-6.3377,-5.3128,-2.8103
00-0034857,J.Allen,2024,14,BUF,LA,51.88,QB,23.0106,26.5757,27.0842,-28.8694,-25.3043,-24.7958
00-0034857,J.Allen,2024,15,BUF,DET,41.28,QB,22.2218,21.8759,27.4522,-19.0582,-19.4041,-13.8278
00-0034857,J.Allen,2024,16,BUF,NE,11.16,QB,24.6683,22.8442,29.0683,13.5083,11.6842,17.9083
00-0034857,J.Allen,2024,17,BUF,NYJ,22.98,QB,24.2639,27.0774,30.2842,1.2839,4.0974,7.3042
00-0034844,S.Barkley,2024,1,PHI,GB,33.2,RB,11.2482,12.8634,16.2614,-21.9518,-20.3366,-16.9386
00-0034844,S.Barkley,2024,2,PHI,ATL,17.6,RB,14.5398,16.2805,17.5144,-3.0602,-1.3195,-0.0856
00-0034844,S.Barkley,2024,3,PHI,NO,33.6,RB,13.1284,14.8592,17.4644,-20.4716,-18.7408,-16.1356
00-0034844,S.Barkley,2024,4,PHI,TB,13.6,RB,15.7947,18.0847,20.8065,2.1947,4.4847,7.2065
00-0034844,S.Barkley,2024,6,PHI,CLE,7.4,RB,13.0533,16.4305,17.456,5.6533,9.0305,10.056
00-0034844,S.Barkley,2024,7,PHI,NYG,26.7,RB,12.808,14.9942,15.9965,-13.892,-11.7058,-10.7035
00-0034844,S.Barkley,2024,8,PHI,CIN,12.1,RB,12.6273,17.2729,16.9661,0.5273,5.1729,4.8661
00-0034844,S.Barkley,2024,9,PHI,JAX,32.9,RB,14.4434,17.7965,18.4446,-18.4566,-15.1035,-14.4554
00-0034844,S.Barkley,2024,10,PHI,DAL,8.8,RB,13.9624,17.6464,18.8743,5.1624,8.8464,10.0743
00-0034844,S.Barkley,2024,11,PHI,WAS,33.8,RB,13.7013,16.6278,14.5156,-20.0987,-17.1722,-19.2844
00-0034844,S.Barkley,2024,12,PHI,LA,46.2,RB,18.6227,17.6633,22.9485,-27.5773,-28.5367,-23.2515
00-0034844,S.Barkley,2024,13,PHI,BAL,19.7,RB,18.0522,18.4163,22.2114,-1.6478,-1.2837,2.5114
00-0034844,S.Barkley,2024,14,PHI,CAR,14.4,RB,18.3863,19.6511,21.232,3.9863,5.2511,6.832
00-0034844,S.Barkley,2024,15,PHI,PIT,9.4,RB,13.6685,14.7663,15.7809,4.2685,5.3663,6.3809
00-0034844,S.Barkley,2024,16,PHI,WAS,27.0,RB,12.3937,15.2913,17.4418,-14.6063,-11.7087,-9.5582
00-0034844,S.Barkley,2024,17,PHI,DAL,18.9,RB,13.8706,15.4124,16.7756,-5.0294,-3.4876,-2.1244
00-0036900,J.Chase,2024,1,CIN,NE,12.2,WRTE,16.2776,20.4639,19.5264,4.0776,8.2639,7.3264
00-0036900,J.Chase,2024,2,CIN,KC,7.5,WRTE,12.9562,15.41,14.4891,5.4562,7.91,6.9891
00-0036900,J.Chase,2024,3,CIN,WAS,29.8,WRTE,13.4606,17.1786,16.4712,-16.3394,-12.6214,-13.3288
00-0036900,J.Chase,2024,4,CIN,CAR,17.5,WRTE,14.7949,18.1562,17.8056,-2.7051,0.6562,0.3056
00-0036900,J.Chase,2024,5,CIN,BAL,41.3,WRTE,15.0905,19.7427,18.6965,-26.2095,-21.5573,-22.6035
00-0036900,J.Chase,2024,6,CIN,NYG,12.2,WRTE,12.234,15.7305,15.5042,0.034,3.5305,3.3042
00-0036900,J.Chase,2024,7,CIN,CLE,17.6,WRTE,13.7926,18.0632,20.7835,-3.8074,0.4632,3.1835
00-0036900,J.Chase,2024,8,CIN,PHI,20.4,WRTE,13.4942,15.6935,18.2051,-6.9058,-4.7065,-2.1949
00-0036900,J.Chase,2024,9,CIN,LV,11.3,WRTE,13.7726,18.309,18.3408,2.4726,7.009,7.0408
00-0036900,J.Chase,2024,10,CIN,BAL,55.4,WRTE,17.8294,22.7503,22.1817,-37.5706,-32.6497,-33.2183
00-0036900,J.Chase,2024,11,CIN,LAC,26.5,WRTE,13.8375,16.2579,15.6149,-12.6625,-10.2421,-10.8851
00-0036900,J.Chase,2024,13,CIN,PIT,20.6,WRTE,15.4513,19.2114,21.2441,-5.1487,-1.3886,0.6441
00-0036900,J.Chase,2024,14,CIN,DAL,45.1,WRTE,14.8939,18.1954,20.2334,-30.2061,-26.9046,-24.8666
00-0036900,J.Chase,2024,15,CIN,TEN,18.4,WRTE,13.0704,16.9549,17.5083,-5.3296,-1.4451,-0.8917
00-0036900,J.Chase,2024,16,CIN,CLE,22.4,WRTE,14.7448,18.2578,21.4788,-7.6552,-4.1422,-0.9212
00-0036900,J.Chase,2024,17,CIN,DEN,19.2,WRTE,16.9726,18.0584,22.7091,-2.2274,-1.1416,3.5091
00-0036900,J.Chase,2024,18,CIN,PIT,25.6,WRTE,17.8394,21.6949,23.2498,-7.7606,-3.9051,-2.3502
