position,threshold,model,num_features,decision_threshold,validation_f1_at_threshold,accuracy,precision,recall,f1,roc_auc,average_precision,brier_score,positive_rate_actual,positive_rate_predicted,best_iteration
QB,10,enhanced_logistic_balanced_tuned_threshold,141,0.29,0.8235,0.7869,0.7769,0.9506,0.855,0.7783,0.8282,0.1791,0.661,0.8087,
QB,10,enhanced_lightgbm_balanced_tuned_threshold,141,0.32,0.8306,0.7823,0.7694,0.9576,0.8532,0.7691,0.8248,0.1674,0.661,0.8227,83.0
QB,10,enhanced_lightgbm_balanced_isotonic_tuned_threshold,141,0.25,0.8314,0.7823,0.7684,0.96,0.8536,0.756,0.8105,0.1633,0.661,0.8258,83.0
QB,15,enhanced_logistic_balanced_tuned_threshold,141,0.22,0.67,0.5988,0.528,0.9512,0.6791,0.709,0.6329,0.2156,0.4463,0.804,
QB,15,enhanced_lightgbm_balanced_tuned_threshold,141,0.32,0.6852,0.6096,0.536,0.9338,0.6811,0.7081,0.6466,0.2122,0.4463,0.7776,73.0
QB,15,enhanced_lightgbm_balanced_isotonic_tuned_threshold,141,0.25,0.6879,0.6096,0.536,0.9338,0.6811,0.7067,0.6246,0.2108,0.4463,0.7776,73.0
QB,20,enhanced_logistic_balanced_tuned_threshold,141,0.34,0.4516,0.5241,0.3277,0.8344,0.4706,0.7189,0.4381,0.2116,0.2535,0.6454,
QB,20,enhanced_lightgbm_balanced_tuned_threshold,141,0.24,0.499,0.5397,0.3374,0.8466,0.4825,0.7181,0.4464,0.1765,0.2535,0.6361,119.0
QB,20,enhanced_lightgbm_balanced_isotonic_tuned_threshold,141,0.16,0.5061,0.5443,0.3391,0.8405,0.4832,0.7072,0.4006,0.1703,0.2535,0.6283,119.0
RB,10,enhanced_logistic_balanced_tuned_threshold,143,0.44,0.6759,0.7789,0.6361,0.8061,0.7111,0.8481,0.7132,0.1534,0.3375,0.4277,
RB,10,enhanced_lightgbm_balanced_tuned_threshold,143,0.46,0.6756,0.7755,0.6414,0.7592,0.6953,0.8456,0.7005,0.1505,0.3375,0.3994,209.0
RB,10,enhanced_lightgbm_balanced_isotonic_tuned_threshold,143,0.34,0.6756,0.7748,0.6403,0.7592,0.6947,0.846,0.6952,0.1502,0.3375,0.4001,209.0
RB,15,enhanced_logistic_balanced_tuned_threshold,143,0.51,0.5251,0.7693,0.4449,0.7589,0.5609,0.8333,0.4793,0.1625,0.1942,0.3313,
RB,15,enhanced_lightgbm_balanced_tuned_threshold,143,0.35,0.5311,0.7851,0.4627,0.6596,0.5439,0.8337,0.499,0.1274,0.1942,0.2769,320.0
RB,15,enhanced_lightgbm_balanced_isotonic_tuned_threshold,143,0.22,0.5327,0.7893,0.4695,0.656,0.5473,0.832,0.4807,0.122,0.1942,0.2713,320.0
RB,20,enhanced_logistic_balanced_tuned_threshold,143,0.59,0.3725,0.7893,0.264,0.6812,0.3806,0.8186,0.2553,0.1692,0.095,0.2452,
RB,20,enhanced_lightgbm_balanced_tuned_threshold,143,0.22,0.3641,0.8092,0.266,0.5725,0.3632,0.8113,0.2521,0.0853,0.095,0.2045,280.0
RB,20,enhanced_lightgbm_balanced_isotonic_tuned_threshold,143,0.15,0.3688,0.7989,0.2638,0.6232,0.3707,0.8108,0.2438,0.0765,0.095,0.2245,280.0
WRTE,10,enhanced_logistic_balanced_tuned_threshold,97,0.56,0.6167,0.7751,0.5552,0.6635,0.6045,0.8305,0.6108,0.1666,0.259,0.3096,
WRTE,10,enhanced_lightgbm_balanced_tuned_threshold,97,0.38,0.6098,0.7508,0.5135,0.7236,0.6007,0.8118,0.5774,0.1561,0.259,0.365,758.0
WRTE,10,enhanced_lightgbm_balanced_isotonic_tuned_threshold,97,0.28,0.6107,0.7527,0.5164,0.7131,0.599,0.8109,0.5648,0.1472,0.259,0.3577,758.0
WRTE,15,enhanced_logistic_balanced_tuned_threshold,97,0.59,0.4978,0.8071,0.3891,0.6505,0.4869,0.8382,0.4207,0.1591,0.1407,0.2352,
WRTE,15,enhanced_lightgbm_balanced_tuned_threshold,97,0.36,0.4651,0.821,0.3949,0.5107,0.4454,0.8213,0.3989,0.109,0.1407,0.182,839.0
WRTE,15,enhanced_lightgbm_balanced_isotonic_tuned_threshold,97,0.21,0.4659,0.821,0.3933,0.501,0.4406,0.8195,0.3844,0.1004,0.1407,0.1792,839.0
WRTE,20,enhanced_logistic_balanced_tuned_threshold,97,0.74,0.354,0.8749,0.2403,0.4057,0.3018,0.8386,0.2382,0.1588,0.0667,0.1126,
WRTE,20,enhanced_lightgbm_balanced_tuned_threshold,97,0.21,0.3091,0.8585,0.2181,0.4344,0.2904,0.8124,0.2217,0.0634,0.0667,0.1328,600.0
WRTE,20,enhanced_lightgbm_balanced_isotonic_tuned_threshold,97,0.15,0.314,0.8617,0.2213,0.4262,0.2913,0.8111,0.2096,0.0568,0.0667,0.1284,600.0
